reaction,mean,std
EX_ala_L(e),0.07650547156216017,0.06446098190339138
EX_arg_L(e),-0.43874475180204414,0.22215738747651909
EX_asn_L(e),-0.008074804177505987,0.009328694744141566
EX_asp_L(e),-0.005443802233751943,0.014343406238700512
EX_chol(e),-0.0005908495491817973,5.861597679011312e-5
EX_cit(e),-2.3487406862057845,0.6847157258592722
EX_cl(e),3.8312464312184604e-14,5.562513630798953e-13
EX_co2(e),29.952708088872285,10.074440120612433
EX_glc(e),-3.333887993434555,1.363123793763109
EX_gln_L(e),-3.156674678052906,1.2761026008939214
EX_glu_L(e),0.15604872677801068,0.12169311333597094
EX_gly(e),-0.10157515234098115,0.1964738297928428
EX_h(e),50.20983310682998,39.88075680220991
EX_h2o(e),-8.660097824014821,14.869774584862054
EX_ile_L(e),-0.5447290534685119,0.24602035779015743
EX_k(e),7.548806024715305e-14,3.8790785756460525e-13
EX_lac_L(e),0.9867528024572197,0.4954387057787141
EX_leu_L(e),-0.5910714253326885,0.2953608724437509
EX_lys_L(e),-0.29802091370521594,0.14088722025118786
EX_na1(e),-1.488729139964562e-13,6.568536055054365e-13
EX_nh4(e),3.004712563535684,3.576196514613835
EX_o2(e),-12.347769450200692,1.3918929981960435
EX_orn(e),2.6934875429192635,1.8458847393583746
EX_phe_L(e),-0.2369212158175195,0.132401627256157
EX_pi(e),-0.0116442870681241,0.0011551862255231406
EX_pro_L(e),0.02741974138174046,0.02825349613678569
EX_ser_L(e),-0.3223055228980584,0.16787969185605428
EX_thr_L(e),-0.4542409917914954,0.29766087317381074
EX_trp_L(e),-0.048037896471431786,0.02675803131065211
EX_tyr_L(e),-0.2633543830864517,0.15027626519305007
EX_urea(e),0.16144207385466042,0.8436634237162646
EX_val_L(e),-0.6152231597926735,0.2809754733051727
EX_mal_L(e),-0.012557179840813087,0.0013002371956762032
EX_ha(e),0.0006683886337922047,0.0002836371291719602
DM_atp_c_,2.280943575439852,9.143837817012495
DM_gudac_c_,0.38511482768290556,0.25677827501276035
DM_Tyr_ggn_c_,-0.0005728268616446428,5.6828013277244544e-5
DM_nadph[c],0.7157609683820229,0.9969122885001888
DM_nadph[m],31.474333233964693,20.86262136837944
DM_nadh_trans[m],54.58305580495403,68.62147736858427
GLCt1r,3.333887993434557,1.3631237937631087
HEX1,3.3338879934345576,1.3631237937631087
PGI,1.6901989549544905,0.7138864435946619
PFK,0.06132006267307222,0.33462240286551564
FBA,0.061320062673072155,0.3346224028655155
TPI,0.06015063119023011,0.3346236237063319
G3PD1,-0.001169431482841901,0.00011601492926459739
GAPD,0.12246538094881501,0.6749321238451663
PGK,-0.12246538094882374,0.6749321238451654
PGCD,0.07206301428375644,0.4235465296412053
PGM,-0.050402366665063536,0.46617009943756654
ENO,0.05040236666506408,0.4661700994375666
PYK,0.0504023666650635,0.4661700994375667
LDH_L,-0.986752802457222,0.49543870577870713
L_LACt2r,-0.986752802457222,0.49543870577870713
PGMT,-1.6371693619305678,0.6920711777899351
G6PDH2r,0.006436344098830377,0.14312847676385324
PGL,0.0064363440988298316,0.14312847676385324
GNDc,0.0021454480329433025,0.047709492254617604
RPE,0.001989374171068391,0.09541284069996316
RPI,-0.00444696992776224,0.047716454888097844
PRPPS,0.003452282842231881,0.00034248808555791156
TKT1,0.0009946870855326892,0.047706420349981016
TKT2,0.0009946870855327746,0.04770642034998164
TALA,0.0009946870855326324,0.04770642034998101
PYRt2m,-0.969516765031389,0.6990686827586757
PDHm,3.727307369746911,1.9032586997743455
CSm,7.018062619958345,4.546806633942224
ACONTm,8.793890078050142,2.751137276323115
ICDHxm,40.15900639759347,71.57212070453588
ICDHyrm,-31.365116319543336,71.63245408184764
AKGDm,9.490303667248691,3.8009803046505772
SUCOAS1m,-10.638513899262506,3.8882983693254585
SUCD1m,10.638513899262508,3.8882983693254585
FUMm,11.249251523286139,4.150070076165731
FUMtm,0.6107376240236255,0.8454215368835745
MDHm,3.9981056589366504,13.656778192814294
MDH,-2.3789973656148793,2.517861527766172
ME2,0.005751608621962498,0.0641578051415723
ME2m,9.636948801183204,13.399274091196824
PCm,4.940124666404899,13.275240692325644
ADK1,1000.0,0.0
ADK3,-998.658712707097,1.0870188038646174
ATPtm,43.415854685930626,15.238087477830442
ADPtx,-0.016178939715748554,0.0016050521764020473
ATPtx,0.01617893971578212,0.0016050521764039937
NDPK1,-998.6575089490533,1.0870207327916925
NDPK1m,-10.638513899262506,3.8882983693254585
NDPK2,3.269828983258234,1.3841446716879473
NDPK3,0.0020373412223198104,0.0002021170126387984
NDPK4,0.0002737308648186172,2.7155816640231434e-5
NDPK5,0.00018343905852640318,1.819830379973364e-5
NDPK7,0.00018384393779712126,1.8238470361015176e-5
NDPK8,0.0002739411783059893,2.7176681066804575e-5
UMPK,0.002065085740006282,0.00020486944260206046
NADH2_u10m,8.935721378544098,5.319829104620615
CYOR_u10m,21.946175506841325,2.9451580722102246
CYOOm2,10.973087753420662,1.4725790361051123
ATPS4m,41.85498463880608,8.655080173147638
GlcN6P_synthase,1.6308682664524807,0.6920745951802281
glucosamine-6-phosphate-N-acetyltransferase,1.6308682664524794,0.692074595180229
phosphoacetylglucosamine_mutase,1.63086826645248,0.6920745951802291
UDP-N-acetylglucosamine-diphosphorylase,1.6308682664524792,0.6920745951802288
GALU,1.6371693619305692,0.6920711777899353
UDP-glucose-6-dehydrogenase,1.6308682664524792,0.6920745951802288
hyaluronan_synthase,0.0006683886337919999,0.00028363712917222494
transport_ha[c],0.0006683886337919998,0.0002836371291722248
