reaction,mean,std
EX_ala_L(e),0.07401663362744988,0.06383102520382446
EX_arg_L(e),-0.43132478281992453,0.22343964962176718
EX_asn_L(e),-0.007731722962994035,0.009923622619382327
EX_asp_L(e),-0.004996340897884507,0.014288207111277573
EX_chol(e),-0.0005902546754449815,5.995870527596118e-5
EX_cit(e),-1.4534049042844308,2.188173708108361
EX_cl(e),5.6559201766503975e-14,2.4889465345815383e-13
EX_co2(e),29.7894456540249,11.167772964869746
EX_glc(e),-3.008921006495985,1.3064287404648067
EX_gln_L(e),-3.191667198772474,1.293164787621236
EX_glu_L(e),0.13889211199823936,0.1186276012165903
EX_gly(e),-0.08475835143638687,0.20287103233577508
EX_h(e),56.397746569498366,52.647914917810894
EX_h2o(e),-11.488814224838455,19.36791217906085
EX_ile_L(e),-0.5314146677858469,0.24143700300702986
EX_k(e),8.682832230988425e-14,4.588364359382498e-13
EX_lac_L(e),1.0472596946847557,0.49292525005617627
EX_leu_L(e),-0.5834920511529178,0.28429441611406825
EX_lys_L(e),-0.28955553546564616,0.13801199572395342
EX_na1(e),-1.616342615307076e-13,4.967644263154302e-13
EX_nh4(e),4.063114674614255,5.155521392184484
EX_o2(e),-12.336084144441577,1.4455963936312695
EX_orn(e),2.3877844920976257,2.3038552498383056
EX_phe_L(e),-0.23455782347919452,0.132376870035035
EX_pi(e),-0.011632563473548742,0.001181648318807781
EX_pro_L(e),0.025781132872341992,0.02728121907146694
EX_ser_L(e),-0.3132446728528471,0.17244867226897453
EX_thr_L(e),-0.4353920632739949,0.29544190423557365
EX_trp_L(e),-0.047511460778324514,0.025936478155050322
EX_tyr_L(e),-0.2673193876618206,0.14815897182813434
EX_urea(e),0.08353791005092313,0.47494150711388033
EX_val_L(e),-0.6116465818587088,0.30844064962982076
EX_mal_L(e),-0.012444029497918362,0.001304162399622101
EX_ha(e),0.0004946745621812738,0.00032705663817042205
DM_atp_c_,2.4439826182878313,9.624120288199759
DM_gudac_c_,0.421015844749301,0.4837886155471962
DM_Tyr_ggn_c_,-0.0005722501333440561,5.812978450797972e-5
DM_nadph[c],2.53991539370663,4.47640658745109
DM_nadph[m],31.339543068580404,23.172057510844883
DM_nadh_trans[m],56.52800075864515,70.11793773182332
GLCt1r,3.008921006495987,1.3064287404648067
HEX1,3.0089210064959877,1.3064287404648067
PGI,1.7756635875424824,0.9847566792492111
PFK,0.5796074425969966,1.2122566026820707
FBA,0.5796074425969966,1.212256602682071
TPI,0.5784391885104608,1.2122598170790213
G3PD1,-0.0011682540865355976,0.00011867250760373916
GAPD,1.1635215244962767,2.4311648544659676
PGK,-1.1635215244962782,2.4311648544659676
PGCD,0.9660492791513275,2.141984005603046
PGM,-0.19747224534494287,1.0325546004119164
ENO,0.1974722453449441,1.0325546004119257
PYK,0.19747224534494456,1.0325546004119248
LDH_L,-1.0472596946847574,0.4929252500561758
L_LACt2r,-1.0472596946847574,0.4929252500561758
PGMT,-1.2133006831899407,0.7980210763137663
G6PDH2r,0.019873487212910733,0.24372837944995288
PGL,0.019873487212910115,0.2437283794499529
GNDc,0.006624495737636678,0.08124279314998417
RPE,0.010949786777673779,0.1624910607076037
RPI,-0.008923700435237918,0.08123782206510229
PRPPS,0.0034488070464035445,0.0003503335320169083
TKT1,0.005474893388836222,0.08124553035380276
TKT2,0.005474893388836449,0.0812455303538026
TALA,0.005474893388836279,0.08124553035380276
PYRt2m,-0.8536437696265085,1.2833135851535962
