reaction,mean,std
EX_ala_L(e),0.00668095500512355,0.0012314457377698754
EX_arg_L(e),-0.002315255570068567,0.0012255299254452668
EX_asn_L(e),0.00051641681892686,0.00012589272338953833
EX_asp_L(e),0.0008205145637228082,0.00022988209498892582
EX_chol(e),-0.00048504588838136443,1.0275283613110365e-5
EX_cit(e),1.3192159150475757,8.049829075224428
EX_cl(e),8.00923771748785e-14,1.5031523590416093e-13
EX_co2(e),3.6438826139980414,17.178308005334312
EX_glc(e),-0.5960442421268393,0.11543604443312597
EX_gln_L(e),-0.035992309978905776,0.010502999850810952
EX_glu_L(e),0.011395464651130836,0.001631029899864952
EX_gly(e),-0.6841830275253188,4.658682063363489
EX_h(e),11.119377941935003,47.41391985316007
EX_h2o(e),-2.6248906431485803,13.925392675397003
EX_ile_L(e),-0.004534321243972618,0.0003894058561473395
EX_k(e),8.765255188336596e-14,2.9954920935106616e-13
EX_lac_L(e),0.9271040133203292,0.07832557969644366
EX_leu_L(e),-0.007677887390725602,0.0025424836050731703
EX_lys_L(e),-0.012931481822607054,0.01719878727595477
EX_na1(e),-1.6473222785862163e-13,3.4187320051667644e-13
EX_nh4(e),0.9853172281887382,5.9397396614962545
EX_o2(e),-0.24152205840246072,0.04833951924659146
EX_orn(e),-0.1670695884391325,1.8527882338116533
EX_phe_L(e),-0.002870418636905214,0.0024317416162744727
EX_pi(e),-0.009559140010021821,0.00020250223133404374
EX_pro_L(e),0.0017796697849414703,0.0002889012129224988
EX_ser_L(e),-0.0025537046776322532,0.0019635309279031204
EX_thr_L(e),-0.005165694873714955,0.00010943084180769858
EX_trp_L(e),-0.0014825591566460616,0.005194033093480422
EX_tyr_L(e),-0.0018413607419283267,0.0008582363948997309
EX_urea(e),0.005781277064363649,0.046265964045121115
EX_val_L(e),-0.010469306721274337,0.03463834008367885
EX_mal_L(e),-2.2482461954662285,14.81139179780198
EX_ha(e),8.69009147126576e-6,4.310176471226217e-6
DM_atp_c_,0.018265907956564027,0.14513309425046408
DM_gudac_c_,0.0,0.0
DM_Tyr_ggn_c_,-0.0004702505305794489,9.961856571139419e-6
DM_nadph[c],0.9541265169366695,7.187444745340574
DM_nadph[m],4.83344950246481,22.18326193249579
DM_nadh_trans[m],3.793811518054756,18.502157894695713
GLCt1r,0.5960442421268396,0.11543604443312647
HEX1,0.5960442421268397,0.11543604443312644
PGI,0.5582322323013178,0.11964666980493065
PFK,0.5427170354621764,0.1188748409109558
FBA,0.5427170354621762,0.11887484091095607
TPI,0.541757014534204,0.11887339882202197
G3PD1,-0.000960020927972181,2.033722487845566e-5
