reaction,mean,std
EX_ala_L(e),0.07456697566326143,0.0625938263539787
EX_arg_L(e),-0.4395277625714773,0.21177659237033972
EX_asn_L(e),-0.007864683563164592,0.010432958096954867
EX_asp_L(e),-0.005474451006791073,0.014500360068427974
EX_chol(e),-0.0003792694030717314,4.085443320021851e-5
EX_cit(e),-2.3667334814051326,0.7928562406083637
EX_cl(e),5.456968210637569e-14,2.4680291318904184e-13
EX_co2(e),30.53502122602037,10.465647496879162
EX_glc(e),-3.277024184127874,1.4031778412884117
EX_gln_L(e),-3.2465834471294426,1.2742236863143683
EX_glu_L(e),0.15778837510770616,0.12406637738160593
EX_gly(e),-0.09637395745681974,0.19519465736347932
EX_h(e),52.149672614204,40.41388820627331
EX_h2o(e),-9.638064900146402,15.113494747349565
EX_ile_L(e),-0.5299222512241007,0.2269879603464245
EX_k(e),1.24799726108904e-13,8.657842647076411e-13
EX_lac_L(e),0.9856225669286068,0.511544600085153
EX_leu_L(e),-0.5912211615566829,0.28516632121950064
EX_lys_L(e),-0.2971351359566849,0.14063836655851927
EX_na1(e),-1.496118784416467e-13,5.380888949968197e-13
EX_nh4(e),3.199609031420167,3.678283000960231
EX_o2(e),-12.270036909176559,1.4834311292560869
EX_orn(e),2.7211799223460957,1.8724816030114841
EX_phe_L(e),-0.23551377418666614,0.12933372557466435
EX_pi(e),-0.0074745285183228415,0.0008051470106019705
EX_pro_L(e),0.02534832672793729,0.026751979875098815
EX_ser_L(e),-0.31774248351209466,0.1719163480811189
EX_thr_L(e),-0.4544473310109679,0.28643070715011393
EX_trp_L(e),-0.046363590946834544,0.02641356319453756
EX_tyr_L(e),-0.27361926811675114,0.14734841106463528
EX_urea(e),0.15306029367224414,0.775498002975647
EX_val_L(e),-0.6089243893150902,0.29214557271781033
EX_mal_L(e),-0.012468699283243167,0.0013090289817214065
EX_ha(e),0.0006583378756942011,0.0002929555595778393
DM_atp_c_,2.435112365011986,9.564410230545654
DM_gudac_c_,0.3861233322839175,0.2532186530956206
DM_Tyr_ggn_c_,-0.000367700546071859,3.96082501656415e-5
DM_nadph[c],0.8013205620074342,1.240129859007377
DM_nadph[m],32.46976224749343,21.08373815819861
DM_nadh_trans[m],58.25368015927402,69.89702825763503
GLCt1r,3.277024184127874,1.4031778412884104
HEX1,3.2770241841278747,1.4031778412884104
PGI,1.6658364100864682,0.723054741603045
PFK,0.058511407706058574,0.3095065587992822
FBA,0.0585114077060588,0.30950655879928307
TPI,0.057760743546210164,0.30949969479481876
G3PD1,-0.0007506641598485828,8.086061919471619e-5
GAPD,0.11578185840874909,0.6190023102252445
PGK,-0.1157818584087476,0.6190023102252445
PGCD,0.09223109607635853,0.511697525439041
PGM,-0.023550762332389327,0.27685931790804286
ENO,0.023550762332421527,0.27685931790803947
PYK,0.023550762332408583,0.27685931790804097
LDH_L,-0.9856225669286064,0.5115446000851506
L_LACt2r,-0.9856225669286064,0.5115446000851506
PGMT,-1.6103891227001257,0.7148074566393723
G6PDH2r,0.0007451598071392948,0.023564022113611485
PGL,0.0007451598071361762,0.023564022113611582
GNDc,0.0002483866023802382,0.007854674037870487
RPE,-0.0009805856870490571,0.015708662374246535
RPI,-0.001725745494189539,0.0078577772872331
PRPPS,0.0022160383377145933,0.00023870892170354177
TKT1,-0.0004902928435249123,0.007854331187123288
TKT2,-0.000490292843524486,0.007854331187123262
TALA,-0.0004902928435246565,0.007854331187123281
PYRt2m,-0.9583014727285899,0.7511675788423747
PDHm,3.792638761610728,1.9766739392780266
CSm,7.207253852761882,4.783177185777104
ACONTm,8.941771730735626,2.817205613629873
ICDHxm,43.13311336101228,73.62515175806725
ICDHyrm,-34.19134163027663,73.85147431054745
AKGDm,9.709412415802007,3.9135935360419176
SUCOAS1m,-10.840721817420105,4.006016771279591
SUCD1m,10.840721817420107,4.00601677127959
FUMm,11.45121169191916,4.228276911040509
FUMtm,0.6104898744990535,0.7593598988914889
MDHm,3.992195116346897,13.741422529947885
MDH,-2.3222641853020027,2.5744658977184143
ME2,0.03868185887730399,0.45363642553125555
ME2m,9.755067601280194,13.720198068995838
PCm,5.004127366940872,13.434725175499802
ADK1,1000.0,0.0
ADK3,-998.6458318273362,1.0560436922637053
ATPtm,42.631877516932825,15.584997152308333
ADPtx,-0.010385345671948187,0.0011186966509052455
ATPtx,0.010385345671967031,0.0011186966509238937
NDPK1,-998.645059128778,1.0560477086783433
NDPK1m,-10.840721817420105,4.006016771279591
NDPK2,3.2178834194181536,1.4296177929081761
NDPK3,0.0013077799421494945,0.00014087244542758853
NDPK4,0.00017570926786095243,1.892718602156984e-5
NDPK5,0.00011775048711578506,1.2683937514538363e-5
NDPK7,0.00011801038122726482,1.2711932989106478e-5
NDPK8,0.00017584426919276552,1.894172819885201e-5
UMPK,0.0013255892925567992,0.00014279084672989562
NADH2_u10m,8.538327516172151,5.176581179390884
CYOR_u10m,21.763196503764778,3.1266734933345908
CYOOm2,10.881598251882389,1.5633367466672954
ATPS4m,41.18312227181932,8.567757840020661
GlcN6P_synthase,1.6063444166933498,0.7148115653698702
glucosamine-6-phosphate-N-acetyltransferase,1.6063444166933496,0.7148115653698704
phosphoacetylglucosamine_mutase,1.60634441669335,0.7148115653698698
UDP-N-acetylglucosamine-diphosphorylase,1.60634441669335,0.7148115653698699
GALU,1.6103891227001264,0.7148074566393728
UDP-glucose-6-dehydrogenase,1.6063444166933334,0.714811565369869
hyaluronan_synthase,0.0006583378756939954,0.0002929555595778157
transport_ha[c],0.0006583378756939957,0.0002929555595778157
2AMADPTm,-0.29122904556352525,0.14061071607346565
2OXOADOXm,0.33716684395601676,0.14165441642484242
2OXOADPTm,0.33716684395601637,0.14165441642484286
34HPPOR,0.5057042153431878,0.19229137684164643
3DSPHR,0.0001089402668890694,1.1734911438472797e-5
3HAO,0.04593779839249061,0.02641354859880257
3HBCOAHLm,0.6048045266901817,0.29210507707855377
3MOBt2im,0.6048045266901844,0.2921050770785548
3MOPt2im,0.5265048749279295,0.22696332823758508
4MOPt2im,0.5853580807648007,0.2851215918104784
AACOAT,1.091062296108003,0.3448543725863254
AASAD3m,0.2912290455635258,0.14061071607346548
AATAi,0.2912290455635259,0.1406107160734655
ACACT1,-1.087600514217361,0.344828009561444
ACACT10m,0.5265048749279144,0.22696332823759147
ACACT1rm,-0.33716684395602026,0.14165441642484777
ACACt2m,-0.5853580807648154,0.2851215918104711
ACCOAC,0.017194167826582472,0.0018521345914172989
ACITL,0.6322156034313965,4.314255541548055
ACOAD10m,0.5265048749279314,0.22696332823758625
ACOAD8m,0.5853580807648187,0.2851215918104711
ACOAD9m,0.6048045266901844,0.2921050770785549
ACRNtm,1.1780103014004826,4.345940957964341
ADSL1,0.00017584426917760927,1.894172821804307e-5
ADSL2,0.0008904490451577607,9.591807497343868e-5
ADSS,0.0001758442691776004,1.8941728217974735e-5
AGPAT1,0.0007440068762962531,8.0143504805966e-5
AICART,0.0008904490451569984,9.591807497326977e-5
AIRCr,0.0008904490451575384,9.591807497340373e-5
AKGMALtm,4.03056890368167,5.10535424466711
ALATA_L,-0.03491152700971301,0.06842041515454798
ALAt2r,-0.07456697566321381,0.0625938263539442
AM6SAD,0.04593779839249061,0.02641354859880257
AMCOXO,0.0459377983924906,0.026413548598802586
ARGNm,0.15306029367224538,0.7754980029756454
ARGSL,0.10371936584152701,0.7413990706682483
ARGSS,0.10371936584152766,0.7413990706682485
ARGt4,0.43952776257148296,0.21177659237032967
ARGtm,0.1530602936721936,0.7754980029756484
ARTCOAL1,-1.5526210226710192e-5,1.6724642521649645e-6
ARTCOAL2,-2.6344641944177737e-5,2.8378123986599763e-6
ARTFR11,0.0002657218980781817,2.862323574337189e-5
ARTPLM1,-0.000837420932959418,9.020595199252449e-5
ARTPLM2,-0.0007176622343519057,7.73056924073622e-5
ASNNm,0.15840776394001907,0.5825635055507141
ASNS1,0.15399785855819906,0.5827097138249059
ASNt4,0.007864683563171354,0.010432958096946396
ASNtm,0.15840776394002856,0.5825635055507328
ASPCTr,0.0013255892925576518,0.00014279084672785613
ASPGLUm,1.94747639446592,5.16823128277558
ASPTA,1.6900485818706044,5.085783747970798
ASPTAm,-1.7890686305258983,5.146282294909437
ASPt6,0.666472622204629,3.056564805968491
r0780,0.0005769636484410796,6.2149813939378e-5
C3STDH1Pr,0.0005769636484411795,6.214981393982272e-5
C3STKR2r,0.0005769636484410295,6.214981393962427e-5
C4STMO1r,0.0005769636484411586,6.214981393980776e-5
C4STMO2Pr,0.000576963648441068,6.214981393983645e-5
CBPS,0.0013255892925587535,0.00014279084672818955
CBPSam,0.10371936584153156,0.7413990706682542
CDIPTr,5.349153412214491e-5,5.762042205003134e-6
CDS,6.680610122676651e-5,7.196270982588845e-6
CEPTC,0.0006460890604609502,6.959591822587197e-5
CHLPCTD,0.0006460890604609481,6.959591822587226e-5
CHOLK,0.0006460890604609481,6.959591822587226e-5
CHOLt4,0.0003792694030717314,4.085443320021851e-5
CITt4_2,2.3667334814051326,0.7928562406083637
CITtam,1.7345178779737354,4.429166237678163
CLHCO3tex2,3.7268550935231137,17.29085176491131
CLS_hs,6.657283552183419e-6,7.171143887987327e-7
CO2t,-30.535021226020366,10.465647496879164
CO2ter,-0.001153927296882074,0.0001242996278789868
CO2tm,-29.490085063275135,10.321143619800667
CO2tp,-0.003461781890646961,0.00037289888363717665
COAtp,-0.003461781890645398,0.0003728988836381255
COAtr,-0.0002657218980787661,2.862323574456091e-5
CRNtim,1.1780103014004812,4.345940957964341
CSNAT,1.1780103014004812,4.345940957964341
CSNATm,1.1780103014004812,4.345940957964341
CTPS2,0.00047457773113394224,5.112092896948924e-5
CYTK6,0.0007128951616882943,7.679218920819254e-5
DESAT16_2,3.535695810845203e-5,3.808608000482111e-6
DESAT18_3,0.00029951476849062673,3.2263362144459195e-5
DHCR242r,0.000576963648440885,6.214981393989041e-5
DHCR72r,0.000576963648440885,6.214981393989043e-5
DHCRD1,0.00010894026688906546,1.1734911438474327e-5
DHFR,0.00017570926786223139,1.8927186027248463e-5
DHORD9,0.001325589292556836,0.00014279084672911852
DHORTS,-0.0013255892925569128,0.00014279084672899297
DHPR,0.23368928686771032,0.12933521193822733
DMATTx,0.0011539272968817682,0.00012429962787940114
DPMVDx,0.0034617818906451914,0.0003728988836383614
DSAT,0.00010894026688906591,1.1734911438474498e-5
DTMPK,0.00017570926786095243,1.892718602156984e-5
EBP1r,0.000576963648440885,6.214981393989041e-5
ECOAH12m,0.6048045266901817,0.2921050770785538
ECOAH1m,-0.33716684395602015,0.1416544164248476
