reaction,mean,std
EX_ala_L(e),0.004620822785993266,0.02701468875657631
EX_arg_L(e),-1.0228827220214327,0.11291666844110791
EX_asn_L(e),-0.027899388492563702,0.00699496945548973
EX_asp_L(e),-0.027736025194947167,0.0068489876038632476
EX_chol(e),-0.0006743336742633233,1.41497713343364e-5
EX_cit(e),-0.5670189555779591,1.3346266601028345
EX_cl(e),9.106315701501444e-14,1.3084973378682535e-13
EX_co2(e),65.60641315853275,2.304278084603612
EX_glc(e),-6.026347690862067,0.1764315151860136
EX_gln_L(e),-6.585472707465699,0.5127746818768196
EX_glu_L(e),0.1065628589314656,0.04948253185569728
EX_gly(e),-0.4573144183423026,0.0910084207951363
EX_h(e),191.30981467173314,13.363609519322488
EX_h2o(e),-56.00138902019407,5.262768791941707
EX_ile_L(e),-1.1164969866282384,0.09124142155655177
EX_k(e),7.281641956069506e-14,9.372899346492273e-13
EX_lac_L(e),0.7462398745663755,0.14728172782155424
EX_leu_L(e),-1.218218080738358,0.10429460968269703
EX_lys_L(e),-0.6510616055627043,0.05430389224816678
EX_na1(e),-1.751345735101495e-13,7.669449217443099e-13
EX_nh4(e),10.840287895293107,1.7391885870642574
EX_o2(e),-15.072220026940064,0.7536040813720176
EX_orn(e),4.949848549117827,0.7259619975539154
EX_phe_L(e),-0.5691081667931607,0.0550227107531702
EX_pi(e),-0.013289567359172081,0.0002788594822560364
EX_pro_L(e),-0.022987058182973346,0.006898702468057152
EX_ser_L(e),-0.6896648971731127,0.11438175175182086
EX_thr_L(e),-0.89245485958932,0.12964555906988723
EX_trp_L(e),-0.12477055973116159,0.011384242926809089
EX_tyr_L(e),-0.5715076595773504,0.04318141890503593
EX_urea(e),0.07265283957956678,0.2370136144235668
EX_val_L(e),-1.3575694855649512,0.11290921339447113
EX_mal_L(e),-0.012557797535090447,0.0012376266448862925
EX_ha(e),0.000735865696128684,0.0001394985503112417
DM_atp_c_,0.0,0.0
DM_gudac_c_,0.9430050535473555,0.29699392246048495
DM_Tyr_ggn_c_,-0.0006537644699334635,1.3718160769880949e-5
DM_nadph[c],10.971130106753558,2.5706585136474227
DM_nadph[m],93.99547422455058,3.430331926491962
DM_nadh_trans[m],82.07573776642363,42.342907386159474
GLCt1r,6.026347690862067,0.17643151518601283
HEX1,6.026347690862066,0.17643151518601283
PGI,4.223548876223261,0.3330045219861872
PFK,2.4254098620892663,0.6499011120047473
FBA,2.4254098620892686,0.6499011120047472
TPI,2.4240751957097806,0.6499024614949659
G3PD1,-0.0013346663794883682,2.8005755604018194e-5
GAPD,4.848171700009506,1.2998049014351338
PGK,-4.848171700009502,1.2998049014351347
PGCD,4.848171700009478,1.299804901435137
PGM,-1.5347723092418164e-15,3.7174844042719064e-14
ENO,1.3073986337985843e-15,3.5378275253876793e-14
PYK,0.0,0.0
LDH_L,-0.7462398745663761,0.1472817278215578
L_LACt2r,-0.7462398745663761,0.1472817278215578
PGMT,-1.8027037077241523,0.3403832543093683
G6PDH2r,4.524818836170824e-15,1.859929793130889e-14
PGL,5.046997061079436e-16,1.687943507758049e-14
GNDc,1.6405742911420769e-15,6.5586448156462754e-15
RPE,-0.0026267155791050243,5.511726052609186e-5
RPI,-0.002626715579111362,5.5117260524921997e-5
PRPPS,0.00394007336866585,8.267589078621866e-5
TKT1,-0.0013133577895542033,2.755863026212596e-5
TKT2,-0.0013133577895538622,2.755863026318016e-5
TALA,-0.0013133577895542317,2.7558630262204798e-5
PYRt2m,-0.6380170850720056,0.15150143230940197
PDHm,6.12868006534789,0.7654121046046891
CSm,13.697116576095043,0.6766622607314465
ACONTm,14.264135531673006,1.8518742706307565
ICDHxm,11.244864738461537,42.322660634666356
ICDHyrm,3.0192707932114575,42.535394717206806
AKGDm,16.813901249627005,1.2757925649219946
SUCOAS1m,-19.274566656576653,1.3212512361126598
SUCD1m,19.274566656576653,1.321251236112659
FUMm,20.41098194374968,1.3338505807947383
FUMtm,1.1364152871730206,0.06958820418726473
MDHm,26.40466717962042,2.7639390231484557
MDH,-12.860591040080093,1.9354767953823138
ME2,0.0,0.0
ME2m,6.8794636017444635,2.2388239463252555
PCm,0.11276645132455036,1.9905779889599877
ADK1,1000.0,0.0
ADK3,-997.5004305296593,0.7061061160545038
ATPtm,48.49617469147389,3.1921892356747925
ADPtx,-0.018464944044336136,0.0003874561599201599
ATPtx,0.018464944044544778,0.0003874561599490463
NDPK1,-997.4990566865453,0.7061052474583202
NDPK1m,-19.274566656576653,1.3212512361126598
NDPK2,3.6002604707566133,0.6807616325146104
NDPK3,0.002325207481475047,4.8790614234403065e-5
NDPK4,0.0003124076850357937,6.555356005546459e-6
NDPK5,0.0002093580921094258,4.393031586271826e-6
NDPK7,0.00020982017882278115,4.402727707862409e-6
NDPK8,0.00031264771473138355,6.560392637986496e-6
UMPK,0.002356872162602656,4.945504493608487e-5
NADH2_u10m,0.0019660445227368617,0.045882595193711066
