reaction,mean,std
EX_ala_L(e),0.0019443662188093427,0.027005006685774904
EX_arg_L(e),-1.009980638034394,0.1245751249802279
EX_asn_L(e),-0.027951818766144786,0.007079058981773221
EX_asp_L(e),-0.027649991817236996,0.006716234511864854
EX_chol(e),-0.0006733018640771604,2.148985703869773e-5
EX_cit(e),-0.5283903396813289,1.2966341132273533
EX_cl(e),9.07220965018496e-14,1.2636287826500875e-13
EX_co2(e),65.66438281994667,2.371338468704579
EX_glc(e),-6.031891374015975,0.17387357839134204
EX_gln_L(e),-6.617047552196049,0.5219909956526365
EX_glu_L(e),0.10822063587351277,0.04911895587221676
EX_gly(e),-0.45957076488855086,0.09197805022073954
EX_h(e),191.6605990720998,13.22101465973236
EX_h2o(e),-56.201040005886824,5.251514506967317
EX_ile_L(e),-1.1122702479756812,0.09227572915411128
EX_k(e),9.822542779147625e-14,2.081727689401533e-12
EX_lac_L(e),0.7484559517774041,0.1478625465625043
EX_leu_L(e),-1.2044708946993599,0.10135962817151863
EX_lys_L(e),-0.6505231030980305,0.055350789492414315
EX_na1(e),-1.786304437700892e-13,8.715470308102687e-13
EX_nh4(e),10.940675730841974,1.7464386436635526
EX_o2(e),-15.054331304190132,0.7410940255038834
EX_orn(e),4.9324037278974675,0.7088403451078865
EX_phe_L(e),-0.5695922261173316,0.0519071592172341
EX_pi(e),-0.013269232751112468,0.0004235157067826117
EX_pro_L(e),-0.022577075645336543,0.006683352314581262
EX_ser_L(e),-0.693996825486877,0.11735753089449275
EX_thr_L(e),-0.8944487891402276,0.13860656409243532
EX_trp_L(e),-0.12535188472083453,0.01168712766949953
EX_tyr_L(e),-0.5739772063661238,0.0434364346845462
EX_urea(e),0.08446164209657903,0.2516245263116189
EX_val_L(e),-1.3617654838826085,0.10921985354467059
EX_mal_L(e),-0.012494342657590723,0.0012555270247676695
EX_ha(e),0.000733922776803098,0.0001369670726000971
DM_atp_c_,0.0,0.0
DM_gudac_c_,0.9183052218850656,0.3254299698701178
DM_Tyr_ggn_c_,-0.0006527641330569054,2.0834351792696788e-5
DM_nadph[c],11.040123221767727,2.507048150765957
DM_nadph[m],94.08532653385973,3.51020206121081
DM_nadh_trans[m],83.28794052156009,44.37878154531039
GLCt1r,6.031891374015974,0.17387357839134107
HEX1,6.031891374015974,0.1738735783913411
PGI,4.233844431764332,0.3197461362370003
PFK,2.4404501599722153,0.6305592505902446
FBA,2.4404501599722153,0.6305592505902446
TPI,2.439117535789967,0.6305518170073607
G3PD1,-0.0013326241822457802,4.2533527219889884e-5
GAPD,4.878256347565215,1.2611037526734066
PGK,-4.878256347565215,1.2611037526734044
PGCD,4.878256347565192,1.2611037526734161
PGM,-2.1600499167107045e-15,7.699904045402268e-14
ENO,1.9326762412674726e-15,7.55849082768256e-14
PYK,0.0,0.0
LDH_L,-0.7484559517773982,0.14786254656249428
L_LACt2r,-0.7484559517773982,0.14786254656249428
PGMT,-1.7979519808618036,0.33416293923728707
G6PDH2r,5.750513585584813e-15,2.7353366751618717e-14
PGL,9.862345310689387e-17,1.606921812910336e-14
GNDc,1.6412354258712742e-15,9.225232744249826e-15
RPE,-0.002622696393943471,8.370891805191436e-5
RPI,-0.0026226963939517704,8.370891805203888e-5
PRPPS,0.003934044590921872,0.00012556337708074014
TKT1,-0.0013113481969717214,4.185445902641605e-5
TKT2,-0.0013113481969717498,4.185445902635975e-5
TALA,-0.0013113481969717498,4.1854459026779785e-5
PYRt2m,-0.6369571310875048,0.1507440980126033
PDHm,6.128075977027281,0.743305978283989
CSm,13.663974523140332,0.6709675366819668
