reaction,mean,std
EX_ala_L(e),0.009736128603186707,0.001524371659510063
EX_arg_L(e),-0.002530195861010083,0.0020149968296639706
EX_asn_L(e),0.0002884464169657064,9.15929894778979e-5
EX_asp_L(e),0.0008596428651353893,0.00015974755132357123
EX_chol(e),-0.0004216059162471595,4.129705210272341e-5
EX_cit(e),0.5733778979277749,5.123526906713728
EX_cl(e),7.457856554538012e-14,1.964398566540918e-13
EX_co2(e),0.6862535463496576,4.250493534497518
EX_glc(e),-0.8321291034704974,0.11192787034585629
EX_gln_L(e),-0.045313600190092194,0.013598951525793275
EX_glu_L(e),0.016247559637882526,0.002914768360975162
EX_gly(e),0.01757373871706602,0.1499005503443817
EX_h(e),4.506946054065014,27.961940917169663
EX_h2o(e),-0.5044551568552136,9.751050060539233
EX_ile_L(e),-0.005690454543357015,0.0018127061737416568
EX_k(e),7.73070496506989e-14,2.081727676971818e-13
EX_lac_L(e),1.3149309072503943,0.22553252618332195
EX_leu_L(e),-0.007051892013321236,0.014959280247440797
EX_lys_L(e),-0.017150490090298176,0.02767937487773883
EX_na1(e),-1.8658852241060232e-13,2.8427935777081074e-13
EX_nh4(e),0.3902063721477532,4.769382063403238
EX_o2(e),-0.3496742216980698,0.09044388953535541
EX_orn(e),-0.2259571004714831,2.3784823232775585
EX_phe_L(e),-0.003344555839101133,0.009087528379376467
EX_pi(e),-0.00830888391993028,0.0008138700122064426
EX_pro_L(e),0.003569235609266216,0.0004989149000936545
EX_ser_L(e),-0.004188489963923557,0.0016082442095616569
EX_thr_L(e),-0.0044900649040689015,0.0004398098725448185
EX_trp_L(e),-0.0005258262678600545,0.0009728211392851374
EX_tyr_L(e),-0.0017489413897274345,0.00045119360452266436
EX_urea(e),0.02018295861822682,0.10622616628917057
EX_val_L(e),-0.004766502173443712,0.0028670086263821067
EX_mal_L(e),-0.6302181650922523,5.965703325964694
EX_ha(e),1.3368750808865571e-5,5.5824074605396825e-6
DM_atp_c_,0.019957792183050126,0.2137568026028728
DM_gudac_c_,1.9562908793773204e-6,6.164683509852749e-5
DM_Tyr_ggn_c_,-0.0004087456683162998,4.003736786095646e-5
DM_nadph[c],0.177135463505043,1.7160432212282402
DM_nadph[m],1.2900853696374972,12.55141787778652
DM_nadh_trans[m],0.7334331804859501,7.11333467467269
GLCt1r,0.8321291034704964,0.1119278703458561
HEX1,0.8321291034704964,0.11192787034585615
PGI,0.7835802375344755,0.12282350020192581
PFK,0.7569005136142379,0.11873799377727444
FBA,0.7569005136142379,0.11873799377727413
TPI,0.7560660554471897,0.11873330292829573
G3PD1,-0.0008344581670479556,8.173666704856712e-5
GAPD,1.5159365830880795,0.23605614223677712
PGK,-1.5159365830880802,0.23605614223677826
PGCD,0.050764528119818735,0.11869234246509175
PGM,-1.4651720549682616,0.2330168949455543
ENO,1.465172054968262,0.23301689494555403
PYK,1.4651720549682616,0.23301689494555322
LDH_L,-1.314930907250391,0.22553252618331754
L_LACt2r,-1.314930907250391,0.22553252618331754
PGMT,-0.03711595432500874,0.013602185762692686
G6PDH2r,0.011373449004557019,0.044121000536941755
PGL,0.011373449004563847,0.04412100053694011
GNDc,0.0037911496681856433,0.014707000178980608
RPE,0.0059400280533103,0.029415423393258346
RPI,-0.005433420951245836,0.01470689673735743
PRPPS,0.002463406924591112,0.00024129510568859995
TKT1,0.002970014026654411,0.014707711696631622
TKT2,0.002970014026654837,0.014707711696629915
TALA,0.0029700140266547236,0.014707711696631563
PYRt2m,0.24341870277301816,1.7514848748755099
PDHm,0.42245767973290105,2.98472452874243
CSm,0.5957384902516926,3.056966829408221
ACONTm,-0.18953890492060574,2.383727021630768
ICDHxm,0.24884794426782134,0.6034568505909504
ICDHyrm,-0.4383868491884299,2.4397565592132078
AKGDm,0.04871134563945736,0.0788968088646158
SUCOAS1m,-0.05078970789137668,0.07877832660351966
SUCD1m,0.050789707891377114,0.07877832660351966
FUMm,0.07542876616152339,0.12439046020866541
FUMtm,0.02463905827014716,0.1065492698134078
MDHm,0.1086801825252222,3.209270536590826
MDH,0.015563272427745772,0.5245751750418401
ME2,0.1098448060791225,1.7053818499173108
ME2m,0.471558670221693,2.4589114537111145
PCm,0.2925196932618034,0.7058112596545705
ADK1,1000.0,0.0
ADK3,-999.9658928876847,0.1075654284751546
ATPtm,0.9936688304604516,0.8589720462788407
ADPtx,-0.011544625382577863,0.0011308166644698348
ATPtx,0.011544625382631723,0.0011308166644750245
NDPK1,-999.9650339354968,0.10757414117707652
NDPK1m,-0.05078970789137668,0.07877832660351966
NDPK2,0.0710139433971753,0.027214620797594978
NDPK3,0.001453762830036709,0.0001423986643054972
NDPK4,0.00019532307713222963,1.9132244074845386e-5
NDPK5,0.00013089456097998208,1.2821355907154447e-5
NDPK7,0.00013118346616090547,1.2849654685554221e-5
NDPK8,0.0001954731481620513,1.9146943792913728e-5
UMPK,0.0014735601757672613,0.00014433784966155167
NADH2_u10m,0.28282127844725297,0.32683565622400124
