METABOLITE,FLUX,AVG_CTRL,SD_CTRL,AVG_HCM,SD_HCM
Glycine,EX_gly(e),-0.542588992,0.06307588,-0.127402217,0.209479808
L-Alanine,EX_ala_L(e),-0.002967049,0.026038763,0.059250123,0.052845425
L-Arginine,EX_arg_L(e),-0.834792356,0.048993682,-0.367770077,0.185253602
L-Asparagine,EX_asn_L(e),-0.030206182,0.00383979,-0.00843269,0.010578378
L-Aspartic acid,EX_asp_L(e),-0.033572669,0.007145892,-0.007325402,0.015695453
L-Cystine,EX_cys_L(e),-0.613418015,0.00638103,-0.191227723,0.097775262
L-Glutamic acid,EX_glu_L(e),0.084370775,0.039465541,0.121121834,0.09958715
L-Glutamine,EX_gln_L(e),-8.557758399,0.652921021,-3.853747533,1.739755363
L-Histidine,EX_his_L(e),-0.433122649,0.033821972,-0.16671261,0.123979334
L-Isoleucine,EX_ile_L(e),-1.45654037,0.115901762,-0.647341127,0.316487566
L-Leucine,EX_leu_L(e),-1.596443326,0.133757602,-0.695104064,0.394139006
L-Lysine,EX_lys_L(e),-0.827425747,0.069626347,-0.354293791,0.185301244
L-Methionine,EX_met_L(e),-0.402421266,0.028444583,-0.1445556,0.098178866
L-Phenylalanine,EX_phe_L(e),-0.750388195,0.069718662,-0.257517805,0.195083235
L-Proline,EX_pro_L(e),-0.028381866,0.008561843,0.020242181,0.02378997
L-Serine,EX_ser_L(e),-0.836267258,0.086145689,-0.393161234,0.197505925
L-Threonine,EX_thr_L(e),-1.149306043,0.17160814,-0.382468439,0.446778092
L-Tryptophan,EX_trp_L(e),-0.157858473,0.014643669,-0.053296871,0.038234016
L-Tyrosine,EX_tyr_L(e),-0.735764356,0.054487829,-0.294601076,0.211575044
L-Valine,EX_val_L(e),-1.77381168,0.142005261,-0.72457282,0.411856597
Malate,EX_mal_L(e),-0.01,0.001,-0.01,0.001
Glucose,EX_glc(e),-4.821243515,0.138346316,-2.655804442,1.184464539
Lactate,EX_lac_L(e),0.571654287,0.119820495,0.810662348,0.405528065
Cellmass,growth,0.0152,0.00033,0.0133,0.0013
qO2,EX_o2(e),-10.0,1.0,-10.0,1.0
