METABOLITE,FLUX,AVG,SD,AVG,SD
Glycine,EX_gly(e),-0.644485703,0.03153794,-0.812165319,0.104739904
L-Alanine,EX_ala_L(e),-0.081041349,0.013019382,-0.063713902,0.026422712
L-Arginine,EX_arg_L(e),-1.194134788,0.024496841,-1.13889582,0.092626801
L-Asparagine,EX_asn_L(e),-0.049181841,0.001919895,-0.054478621,0.005289189
L-Aspartic acid,EX_asp_L(e),-0.058921224,0.003572946,-0.056663164,0.007847727
L-Cystine,EX_cys_L(e),-0.665887949,0.003190515,-0.71266307,0.048887631
L-Glutamic acid,EX_glu_L(e),-0.010228121,0.019732771,-0.048997042,0.049793575
L-Glutamine,EX_gln_L(e),-11.38313566,0.32646051,-10.15973374,0.869877682
L-Histidine,EX_his_L(e),-0.619680971,0.016910986,-0.585776034,0.061989667
L-Isoleucine,EX_ile_L(e),-2.059009093,0.057950881,-2.015460074,0.158243783
L-Leucine,EX_leu_L(e),-2.321693558,0.066878801,-2.234443582,0.197069503
L-Lysine,EX_lys_L(e),-1.1404598,0.034813173,-1.158866056,0.092650622
L-Methionine,EX_met_L(e),-0.551429815,0.014222292,-0.536919007,0.049089433
L-Phenylalanine,EX_phe_L(e),-1.073331556,0.034859331,-1.008020755,0.097541618
L-Proline,EX_pro_L(e),-0.06679454,0.004280921,-0.052227226,0.011894985
L-Serine,EX_ser_L(e),-1.134232971,0.043072844,-1.123816511,0.098752962
L-Threonine,EX_thr_L(e),-1.693191962,0.08580407,-1.70655397,0.223389046
L-Tryptophan,EX_trp_L(e),-0.218569233,0.007321834,-0.204884077,0.019117008
L-Tyrosine,EX_tyr_L(e),-1.079652681,0.027243915,-1.017753166,0.105787522
L-Valine,EX_val_L(e),-2.531754648,0.07100263,-2.387396123,0.205928299
Glucose,EX_glc(e),-9.106198766,0.069173158,-8.328081812,0.59223227
Lactate,EX_lac_L(e),0.8433765,0.059910248,1.197413582,0.202764032
qO2,EX_o2(e),-0.2187427,0.043660051,-0.314984597,0.080481507
